證券代碼,簡稱,年月日,開盤價(元),收盤價(元),成交量(千股)
00695B ,富邦美債7-10 ,20170802,    36.2620,    36.3438,     1300
00696B ,富邦美債20年 ,20170803,    37.9200,    37.9672,     1557
00679B ,元大美債20年 ,20170803,    36.4704,    36.4518,     1844
00697B ,元大美債7-10 ,20170803,    38.1380,    38.0128,     1365
00687B ,國泰20年美債 ,20170803,    38.1741,    38.1180,      272
00694B ,富邦美債1-3  ,20170803,    38.5995,    38.5707,     2080
00695B ,富邦美債7-10 ,20170803,    36.3347,    36.3165,     1673
00696B ,富邦美債20年 ,20170804,    38.1941,    38.2225,     1581
00679B ,元大美債20年 ,20170804,    36.6559,    36.6744,     1881
00697B ,元大美債7-10 ,20170804,    38.0803,    38.0514,     1815
00687B ,國泰20年美債 ,20170804,    38.4364,    38.2678,      718
00694B ,富邦美債1-3  ,20170804,    38.5035,    38.5035,     1396
00695B ,富邦美債7-10 ,20170804,    36.3529,    36.3347,     1534
00696B ,富邦美債20年 ,20170807,    37.9010,    37.9105,     1501
00679B ,元大美債20年 ,20170807,    36.4796,    36.4054,     1835
00697B ,元大美債7-10 ,20170807,    37.9743,    37.9551,     1803
00687B ,國泰20年美債 ,20170807,    38.2210,    38.0337,      150
00694B ,富邦美債1-3  ,20170807,    38.4843,    38.5035,     1284
00695B ,富邦美債7-10 ,20170807,    36.3165,    36.2256,     1356
00696B ,富邦美債20年 ,20170808,    37.9578,    37.9578,     1250
00679B ,元大美債20年 ,20170808,    36.4982,    36.4425,     1357
00697B ,元大美債7-10 ,20170808,    37.9840,    37.9936,     1854
00687B ,國泰20年美債 ,20170808,    38.1273,    38.0618,      342
00694B ,富邦美債1-3  ,20170808,    38.5131,    38.4843,     1654
00695B ,富邦美債7-10 ,20170808,    36.2802,    36.2529,     1446
00696B ,富邦美債20年 ,20170809,    37.9767,    37.9956,     1505
00679B ,元大美債20年 ,20170809,    36.4796,    36.5353,     1823
00697B ,元大美債7-10 ,20170809,    38.0417,    38.0514,     1803
00687B ,國泰20年美債 ,20170809,    38.1554,    38.1460,      301
00694B ,富邦美債1-3  ,20170809,    38.5035,    38.5707,     1405
00695B ,富邦美債7-10 ,20170809,    36.3256,    36.3438,     1500
00696B ,富邦美債20年 ,20170810,    38.0996,    38.1941,     1426
00679B ,元大美債20年 ,20170810,    36.5817,    36.6930,     1845
00697B ,元大美債7-10 ,20170810,    38.0514,    38.1862,     1810
00687B ,國泰20年美債 ,20170810,    38.1835,    38.2772,      136
00694B ,富邦美債1-3  ,20170810,    38.5803,    38.6859,     1402
